,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration_code,sample_duration,pollutant_standard,date_local,units_of_measure,event_type,observation_count,observation_percent,validity_indicator,arithmetic_mean,first_max_value,first_max_hour,aqi,method_code,method,local_site_name,site_address,state,county,city,cbsa_code,cbsa,date_of_last_change
40122,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-08,Micrograms/cubic meter (LC),No Events,1,100.0,Y,11.9,11.9,0,50.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40129,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-09,Micrograms/cubic meter (LC),No Events,1,100.0,Y,4.8,4.8,0,20.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40136,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-10,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.5,8.5,0,35.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40150,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-12,Micrograms/cubic meter (LC),No Events,1,100.0,Y,13.3,13.3,0,54.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40157,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-13,Micrograms/cubic meter (LC),No Events,1,100.0,Y,13.7,13.7,0,54.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40164,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-14,Micrograms/cubic meter (LC),No Events,1,100.0,Y,10.1,10.1,0,42.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40171,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-15,Micrograms/cubic meter (LC),No Events,1,100.0,Y,16.5,16.5,0,60.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40178,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-16,Micrograms/cubic meter (LC),No Events,1,100.0,Y,14.1,14.1,0,55.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40192,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-18,Micrograms/cubic meter (LC),No Events,1,100.0,Y,11.1,11.1,0,46.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
40199,42,003,0002,88101,2,40.499767,-80.071337,WGS84,PM2.5 - Local Conditions,X,24-HR BLK AVG,PM25 Annual 1997,2019-12-19,Micrograms/cubic meter (LC),No Events,1,100.0,Y,8.7,8.7,0,36.0,183,Thermo Scientific 5014i or FH62C14-DHS w/VSCC - Beta Attenuation,Avalon,"520 Orchard Ave, Avalon, PA 15202 (Avalon)",Pennsylvania,Allegheny,Avalon,38300,"Pittsburgh, PA",2023-02-05
